tipo_crimen,año,mes,provincia,sexo,rango_de_edad,tipo_de_arma_utilizada,distrito
Homicidio,2017,Enero,Panama,Masculino,30-34,Arma de Fuego,San Miguelito
Homicidio,2017,Enero,Panama,Femenino, 10-14,Arma de Fuego,San Miguelito
Homicidio,2017,Enero,Panama,Masculino,30-34,Arma de Fuego,San Miguelito
Homicidio,2017,Enero,Panama,Masculino,No disponible,Arma de Fuego,San Miguelito
Homicidio,2017,Enero,Panama,Femenino,40-44,Arma de Fuego,San Miguelito
Homicidio,2017,Enero,Panama,Masculino,35-39,Arma de Fuego,San Miguelito
Homicidio,2017,Enero,Panama,Masculino,40-44,Arma de Fuego,San Miguelito
Homicidio,2017,Enero,Panama,Masculino,25-29,Arma de Fuego,San Miguelito
Homicidio,2017,Enero,Panama,Masculino,18-24,Arma de Fuego,San Miguelito
Homicidio,2017,Enero,Panama,Masculino,30-34,Arma de Fuego,San Miguelito
Homicidio,2017,Enero,Panama,Masculino,18-24,Arma de Fuego,San Miguelito
Homicidio,2017,Enero,Panama Oeste,Femenino,55-59,Arma de Fuego,No disponible
Homicidio,2017,Enero,Panama Oeste,Masculino,15-17,Arma de Fuego,No disponible
Homicidio,2017,Enero,Panama Oeste,Masculino,0-4,No disponible,No disponible
Homicidio,2017,Enero,Panama Oeste,Masculino,50-54,Arma Blanca,No disponible
Homicidio,2017,Enero,Panama Oeste,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Enero,Panama Oeste,Femenino,45-49,Arma de Fuego,No disponible
Homicidio,2017,Enero,Panama Oeste,No disponible,No disponible,No disponible,No disponible
Homicidio,2017,Enero,Panama Oeste,Masculino, 5-9,No disponible,No disponible
Homicidio,2017,Enero,Panama Oeste,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Enero,Chiriqui,Masculino,25-29,Arma de Fuego,No disponible
Homicidio,2017,Enero,Chiriqui,Masculino,55-59,Arma Blanca,No disponible
Homicidio,2017,Enero,Chiriqui,Femenino,30-34,Arma Blanca,No disponible
Homicidio,2017,Enero,Chiriqui,Masculino,40-44,No disponible,No disponible
Homicidio,2017,Enero,Cocle,Masculino,No disponible,Arma Blanca,No disponible
Homicidio,2017,Enero,Colon,Masculino,25-29,Arma de Fuego,No disponible
Homicidio,2017,Enero,Colon,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Enero,Colon,Masculino,No disponible,No disponible,No disponible
Homicidio,2017,Enero,Colon,Masculino,No disponible,Arma de Fuego,No disponible
Homicidio,2017,Enero,Colon,Masculino,No disponible,No disponible,No disponible
Homicidio,2017,Enero,Colon,Femenino,50-54,Arma de Fuego,No disponible
Homicidio,2017,Enero,Colon,Femenino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Enero,Colon,Masculino,25-29,Arma de Fuego,No disponible
Homicidio,2017,Enero,Colon,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Enero,Herrera,Masculino,40-44,Arma Blanca,No disponible
Homicidio,2017,Enero,Herrera,Masculino,35-39,Arma Blanca,No disponible
Homicidio,2017,Enero,Veraguas,Masculino,80 y mas,Arma Blanca,No disponible
Homicidio,2017,Enero,Panama,Femenino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Enero,Panama,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Enero,Panama,Masculino,30-34,Arma Blanca,No disponible
Homicidio,2017,Enero,Panama,Masculino,25-29,Arma Blanca,No disponible
Homicidio,2017,Enero,Panama,Femenino,No disponible,Arma de Fuego,No disponible
Homicidio,2017,Enero,Panama,Femenino,60-64,Objeto contundente,No disponible
Homicidio,2017,Enero,Panama,Masculino,40-44,Arma de Fuego,No disponible
Homicidio,2017,Enero,Panama,Masculino,35-39,Arma de Fuego,No disponible
Homicidio,2017,Enero,Panama,Masculino,35-39,Arma de Fuego,No disponible
Homicidio,2017,Enero,Panama,Masculino,40-44,Arma de Fuego,No disponible
Homicidio,2017,Enero,Panama,Masculino,18-24,Arma Blanca,No disponible
Homicidio,2017,Febrero,Panama,Masculino,25-29,Arma de Fuego,San Miguelito
Homicidio,2017,Febrero,Panama,Masculino,18-24,Arma de Fuego,San Miguelito
Homicidio,2017,Febrero,Panama,Masculino,18-24,Arma de Fuego,San Miguelito
Homicidio,2017,Febrero,Panama,Masculino,30-34,Arma de Fuego,San Miguelito
Homicidio,2017,Febrero,Panama,Masculino,18-24,Arma de Fuego,San Miguelito
Homicidio,2017,Febrero,Panama,Masculino,30-34,Arma de Fuego,San Miguelito
Homicidio,2017,Febrero,Panama,No disponible,No disponible,Arma de Fuego,San Miguelito
Homicidio,2017,Febrero,Panama,Femenino,18-24,Arma de Fuego,San Miguelito
Homicidio,2017,Febrero,Panama Oeste,Masculino,25-29,Arma de Fuego,No disponible
Homicidio,2017,Febrero,Panama Oeste,Masculino,40-44,No disponible,No disponible
Homicidio,2017,Febrero,Panama Oeste,Masculino,60-64,Arma Blanca,No disponible
Homicidio,2017,Febrero,Panama Oeste,Masculino,35-39,Arma de Fuego,No disponible
Homicidio,2017,Febrero,Panama Oeste,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Febrero,Panama Oeste,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Febrero,Bocas del Toro,Femenino,18-24,No disponible,No disponible
Homicidio,2017,Febrero,Bocas del Toro,Masculino,50-54,Objeto contundente,No disponible
Homicidio,2017,Febrero,Chiriqui,Masculino,18-24,Arma Blanca,No disponible
Homicidio,2017,Febrero,Colon,Masculino,25-29,Arma de Fuego,No disponible
Homicidio,2017,Febrero,Colon,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Febrero,Colon,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Febrero,Colon,Masculino,35-39,Arma de Fuego,No disponible
Homicidio,2017,Febrero,Colon,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Febrero,Herrera,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Febrero,Panama,Masculino,15-17,Arma de Fuego,No disponible
Homicidio,2017,Febrero,Panama,Masculino,60-64,Arma Blanca,No disponible
Homicidio,2017,Febrero,Panama,Masculino,25-29,Arma de Fuego,No disponible
Homicidio,2017,Febrero,Panama,Masculino,25-29,Arma de Fuego,No disponible
Homicidio,2017,Febrero,Panama,Masculino,15-17,Arma de Fuego,No disponible
Homicidio,2017,Febrero,Panama,Femenino,60-64,Arma de Fuego,No disponible
Homicidio,2017,Febrero,Panama,Femenino,35-39,Arma de Fuego,No disponible
Homicidio,2017,Febrero,Panama,Masculino,18-24,Arma de Fuego,No disponible
Homicidio,2017,Febrero,Panama,Masculino,45-49,Arma de Fuego,No disponible
Homicidio,2017,Febrero,Panama,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Febrero,Panama,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Marzo,Panama,Masculino,25-29,Arma de Fuego,San Miguelito
Homicidio,2017,Marzo,Panama,Masculino,18-24,Arma de Fuego,San Miguelito
Homicidio,2017,Marzo,Panama,Masculino,18-24,Arma de Fuego,San Miguelito
Homicidio,2017,Marzo,Panama,Masculino,35-39,Arma de Fuego,San Miguelito
Homicidio,2017,Marzo,Panama,Masculino,18-24,Arma de Fuego,San Miguelito
Homicidio,2017,Marzo,Panama Oeste,Masculino,55-59,Arma Blanca,No disponible
Homicidio,2017,Marzo,Panama Oeste,Masculino,40-44,No disponible,No disponible
Homicidio,2017,Marzo,Panama Oeste,Masculino,35-39,No disponible,No disponible
Homicidio,2017,Marzo,Chiriqui,Masculino,80 y mas,Arma Blanca,No disponible
Homicidio,2017,Marzo,Chiriqui,Masculino,60-64,Arma Blanca,No disponible
Homicidio,2017,Marzo,Chiriqui,Masculino,25-29,Arma Blanca,No disponible
Homicidio,2017,Marzo,Chiriqui,Femenino,25-29,No disponible,No disponible
Homicidio,2017,Marzo,Chiriqui,Masculino,40-44,Arma Blanca,No disponible
Homicidio,2017,Marzo,Chiriqui,Femenino,0-4,No disponible,No disponible
Homicidio,2017,Marzo,Cocle,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Marzo,Colon,Masculino,35-39,Arma de Fuego,No disponible
Homicidio,2017,Marzo,Colon,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Marzo,Colon,Masculino,30-34,Arma de Fuego,No disponible
Homicidio,2017,Marzo,Colon,Masculino,45-49,Arma de Fuego,No disponible
Homicidio,2017,Marzo,Colon,Masculino,55-59,Arma de Fuego,No disponible
